id,name,en,diocese,match,cand_title,cand_url,license,artist,desc_url,width
"63ea8de1-e96a-43bf-b124-81f4f0b352f3","용산 예수 성심 신학교","Yongsan Sacred Heart Seminary","서울","strong","Wonhyo-ro Catholic church of Sacred Heart of Jejus 02.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cb/Wonhyo-ro_Catholic_church_of_Sacred_Heart_of_Jejus_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","Jjw","https://commons.wikimedia.org/wiki/File:Wonhyo-ro_Catholic_church_of_Sacred_Heart_of_Jejus_02.jpg","4000"
"63ea8de1-e96a-43bf-b124-81f4f0b352f3","용산 예수 성심 신학교","Yongsan Sacred Heart Seminary","서울","strong","Wonhyo-ro Catholic church of Sacred Heart of Jejus 03.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d6/Wonhyo-ro_Catholic_church_of_Sacred_Heart_of_Jejus_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","Jjw","https://commons.wikimedia.org/wiki/File:Wonhyo-ro_Catholic_church_of_Sacred_Heart_of_Jejus_03.jpg","6000"
"219050d3-59e4-4871-b896-9b5fcb0c4c31","우포도청 터","Site of the Right Police Bureau","서울","strong","FBI police officer 2.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c2/FBI_police_officer_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","FBI","https://commons.wikimedia.org/wiki/File:FBI_police_officer_2.jpg","192"
"219050d3-59e4-4871-b896-9b5fcb0c4c31","우포도청 터","Site of the Right Police Bureau","서울","strong","ROC-NPA Railway Police Bureau headquarters 20140713.jpg","https://upload.wikimedia.org/wikipedia/commons/e/ed/ROC-NPA_Railway_Police_Bureau_headquarters_20140713.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","Abasaa","https://commons.wikimedia.org/wiki/File:ROC-NPA_Railway_Police_Bureau_headquarters_20140713.jpg","2048"
"219050d3-59e4-4871-b896-9b5fcb0c4c31","우포도청 터","Site of the Right Police Bureau","서울","strong","KLPB Third Precinct 4718-B2 right side at Baifu Police Station 20160716.jpg","https://upload.wikimedia.org/wikipedia/commons/b/be/KLPB_Third_Precinct_4718-B2_right_side_at_Baifu_Police_Station_20160716.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","Solomon203","https://commons.wikimedia.org/wiki/File:KLPB_Third_Precinct_4718-B2_right_side_at_Baifu_Police_Station_20160716.jpg","2800"
"a8f9d7a8-a375-4bc5-8544-23f3eddbb08a","종로 성당","Jongno Catholic Church","서울","strong","Statue of Jesus Christ on the Jongno Catholic Church.jpg","https://upload.wikimedia.org/wikipedia/commons/4/40/Statue_of_Jesus_Christ_on_the_Jongno_Catholic_Church.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","Ethan Doyle White","https://commons.wikimedia.org/wiki/File:Statue_of_Jesus_Christ_on_the_Jongno_Catholic_Church.jpg","3086"
"a8f9d7a8-a375-4bc5-8544-23f3eddbb08a","종로 성당","Jongno Catholic Church","서울","strong","Tower of the Jongno Catholic Church.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b1/Tower_of_the_Jongno_Catholic_Church.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","Ethan Doyle White","https://commons.wikimedia.org/wiki/File:Tower_of_the_Jongno_Catholic_Church.jpg","3063"
"a8f9d7a8-a375-4bc5-8544-23f3eddbb08a","종로 성당","Jongno Catholic Church","서울","strong","Pope Francis on the Jongno Catholic Church.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9c/Pope_Francis_on_the_Jongno_Catholic_Church.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","Ethan Doyle White","https://commons.wikimedia.org/wiki/File:Pope_Francis_on_the_Jongno_Catholic_Church.jpg","4896"
"b5305b5c-a7d6-4dd2-bdfe-f7f6687819f5","좌포도청 터","Site of the Left Police Bureau","서울","weak","Watertown FBI raid - news vans.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/Watertown_FBI_raid_-_news_vans.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Tim Pierce","https://commons.wikimedia.org/wiki/File:Watertown_FBI_raid_-_news_vans.jpg","3024"
"b5305b5c-a7d6-4dd2-bdfe-f7f6687819f5","좌포도청 터","Site of the Left Police Bureau","서울","weak","PIIGS Mk 4 map.png","https://upload.wikimedia.org/wikipedia/commons/3/3a/PIIGS_Mk_4_map.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY 3.0","The original uploader was Snow storm in Eastern Asia at English Wikipedia.","https://commons.wikimedia.org/wiki/File:PIIGS_Mk_4_map.png","3180"
"b5305b5c-a7d6-4dd2-bdfe-f7f6687819f5","좌포도청 터","Site of the Left Police Bureau","서울","weak","Bastendorff Beach becomes day-use site (40048550810).jpg","https://upload.wikimedia.org/wikipedia/commons/d/d8/Bastendorff_Beach_becomes_day-use_site_%2840048550810%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","Bureau of Land Management Oregon and Washington from Portland, America","https://commons.wikimedia.org/wiki/File:Bastendorff_Beach_becomes_day-use_site_(40048550810).jpg","4496"
"8b266b66-1006-4a4c-a708-1aa554492548","한국 순교자 103위 시성 터","Site of the Canonization of the 103 Korean Martyrs","서울","strong","Korean martyrs stela MEP.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1d/Korean_martyrs_stela_MEP.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","PHGCOM","https://commons.wikimedia.org/wiki/File:Korean_martyrs_stela_MEP.jpg","2016"
"8b266b66-1006-4a4c-a708-1aa554492548","한국 순교자 103위 시성 터","Site of the Canonization of the 103 Korean Martyrs","서울","weak","Fr. Emil Joseph Kapaun.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f9/Fr._Emil_Joseph_Kapaun.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","Unknown authorUnknown author","https://commons.wikimedia.org/wiki/File:Fr._Emil_Joseph_Kapaun.jpg","449"
"8b266b66-1006-4a4c-a708-1aa554492548","한국 순교자 103위 시성 터","Site of the Canonization of the 103 Korean Martyrs","서울","weak","Les douze martyrs coréens de la Société des Missions Étrangères de Paris.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8f/Les_douze_martyrs_cor%C3%A9ens_de_la_Soci%C3%A9t%C3%A9_des_Missions_%C3%89trang%C3%A8res_de_Paris.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","Paris Foreign Missions Society","https://commons.wikimedia.org/wiki/File:Les_douze_martyrs_cor%C3%A9ens_de_la_Soci%C3%A9t%C3%A9_des_Missions_%C3%89trang%C3%A8res_de_Paris.jpg","1838"
"f73bcec2-b2b6-4b5f-9acd-84720dedf53b","한국 천주교회 창립 터","Birthplace of the Catholic Church in Korea","서울","weak","1894JoseonSeoul.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2d/1894JoseonSeoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","Frank G. Carpenter","https://commons.wikimedia.org/wiki/File:1894JoseonSeoul.jpg","1156"
"f73bcec2-b2b6-4b5f-9acd-84720dedf53b","한국 천주교회 창립 터","Birthplace of the Catholic Church in Korea","서울","strong","War Memorial of Korea main building.JPG","https://upload.wikimedia.org/wikipedia/commons/c/ca/War_Memorial_of_Korea_main_building.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Adbar","https://commons.wikimedia.org/wiki/File:War_Memorial_of_Korea_main_building.JPG","3703"
"f73bcec2-b2b6-4b5f-9acd-84720dedf53b","한국 천주교회 창립 터","Birthplace of the Catholic Church in Korea","서울","strong","Choe Nam-seon's Korean peninsula tiger.jpg","https://upload.wikimedia.org/wikipedia/commons/7/71/Choe_Nam-seon%27s_Korean_peninsula_tiger.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","Choe Nam-seon","https://commons.wikimedia.org/wiki/File:Choe_Nam-seon%27s_Korean_peninsula_tiger.jpg","323"
